Date,Normalised,Uncertainty_0_lower,Uncertainty_0_upper,Uncertainty_1_lower,Uncertainty_1_upper,Value,arXiv,match
2001-06-26,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0106466,72 \pm 8 km/sec/Mpc .
1999-11-04,77.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,77.0,astro-ph/9911052,77 \pm 8 km s ^ { -1 } Mpc ^ { -1 }
1999-11-12,61.0 \pm 11.0 km s^-1 Mpc^-1,11.0,11.0,,,61.0,astro-ph/9911231,61 \pm 11 km sec ^ { -1 } Mpc ^ { -1 } at 68 %
2004-01-14,71.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,71.0,astro-ph/0401273,68-74 km s ^ { -1 } Mpc ^ { -1 }
2008-06-26,65.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,65.0,0806.4245,65 \pm 7 km/s/Mpc .
2008-07-03,0.765 ^ +0.035 _ -0.033 km s^-1 Mpc^-1,0.033,0.035,,,0.765,0807.0647,0.765 ^ { +0.035 } _ { -0.033 } km s ^ { -1 } Mpc ^ { -1 }
2001-07-19,60.0 \pm 2.0 (internal) km s^-1 Mpc^-1,2.0,2.0,,,60.0,astro-ph/0107391,60 \pm 2 ( internal ) { km } { s } ^ { -1 } { Mpc } ^ { -1 }
2001-07-19,58.699999999999996 \pm 6.3 (internal) km s^-1 Mpc^-1,6.3,6.3,,,58.699999999999996,astro-ph/0107391,58.7 \pm 6.3 ( internal ) { km } { s } ^ { -1 } { Mpc } ^ { -1 } .
2010-05-11,69.0 \pm 11.0 km s^-1 Mpc^-1,11.0,11.0,,,69.0,1005.1955,69 \pm 11 km s ^ { -1 } Mpc ^ { -1 } .
2002-06-05,51.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,51.0,astro-ph/0206084,51 \pm 9 { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2002-06-11,78.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,78.0,astro-ph/0206177,78 \pm 7 km s ^ { -1 } Mpc ^ { -1 } .
